# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
1.930426,-0.037,2.191,-0.242,2.204
1.932482,-0.070,2.212,-0.224,2.224
1.934292,-0.095,2.226,-0.202,2.237
1.936293,-0.120,2.240,-0.181,2.250
1.943725,-0.139,2.246,-0.160,2.256
1.946127,-0.171,2.216,-0.075,2.224
1.948238,-0.168,2.195,-0.054,2.202
1.950169,-0.162,2.167,-0.038,2.174
1.952315,-0.152,2.134,-0.022,2.140
1.954221,-0.139,2.101,-0.009,2.106
1.956215,-0.127,2.067,0.005,2.071
1.958276,-0.114,2.030,0.017,2.033
1.967090,-0.100,1.994,0.026,1.996
1.970134,-0.014,1.775,0.062,1.776
1.972229,0.005,1.727,0.067,1.729
1.974115,0.027,1.682,0.072,1.683
1.976096,0.049,1.636,0.075,1.638
1.978254,0.074,1.590,0.075,1.593
1.980499,0.098,1.546,0.072,1.551
1.982228,0.124,1.505,0.069,1.511
1.989657,0.151,1.464,0.066,1.473
1.992230,0.274,1.375,0.026,1.402
1.993999,0.307,1.365,0.016,1.399
1.996158,0.338,1.359,0.012,1.400
1.998136,0.369,1.356,0.010,1.405
2.000231,0.401,1.358,0.010,1.416
2.002122,0.432,1.364,0.010,1.431
2.003994,0.462,1.373,0.010,1.448
2.012268,0.492,1.378,0.011,1.463
2.016044,0.585,1.389,0.013,1.507
2.017956,0.585,1.378,0.017,1.497
2.020010,0.585,1.358,0.026,1.479
2.022091,0.592,1.336,0.042,1.462
2.023987,0.613,1.324,0.056,1.460
2.025872,0.636,1.308,0.075,1.456
2.034217,0.664,1.284,0.092,1.448
2.038408,0.823,1.117,0.176,1.398
2.039830,0.858,1.068,0.185,1.382
2.042650,0.896,1.018,0.195,1.370
2.043879,0.936,0.964,0.202,1.359
2.045790,0.975,0.909,0.211,1.350
2.047902,1.016,0.857,0.217,1.347
